iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.9132467532467533,0.08809369580746809,0.9912524901998587,0.009257351249038618,0.27112555776360664,0.09153405821081187,0.19897350754319892,0.03223744017487258
1,0.9513043478260869,0.08665163943202163,1.0,0.0,0.12228773572537074,0.07746424160676289,0.06432908606369203,0.016536618847487958
2,1.0,0.0,1.0,0.0,0.0645381935276502,0.04044311306953132,0.025232558379192093,0.003959079989936602
3,1.0,0.0,1.0,0.0,0.037737916503893736,0.026246138085986546,0.012249545738378156,0.003059718938136095
4,1.0,0.0,1.0,0.0,0.031029187270103387,0.025756418392458385,0.007188534432512853,0.0012901390684211436
5,1.0,0.0,1.0,0.0,0.02407830279688587,0.020561145451559265,0.004787183689064769,0.0007748086649248178
6,1.0,0.0,1.0,0.0,0.020712787100190665,0.018767002801537345,0.0035425675501699434,0.0003829031335658554
7,1.0,0.0,1.0,0.0,0.017967443705339054,0.01683082722357782,0.00270639480978156,0.000223766765782695
8,1.0,0.0,1.0,0.0,0.016101150304302377,0.015735101334945933,0.002150179522583618,0.00016317499508603514
9,1.0,0.0,1.0,0.0,0.0151830295644431,0.01544680534445255,0.0017587373964351078,0.00011424433652486601
10,1.0,0.0,1.0,0.0,0.014481987439117836,0.014870494834688896,0.0015624687185208854,9.78554328610218e-05
11,1.0,0.0,1.0,0.0,0.013340912783238484,0.013708820862514778,0.0013491467149574622,8.821547790486422e-05
12,1.0,0.0,1.0,0.0,0.012243006154669986,0.012732701930182127,0.0011819775333609902,7.536079271748409e-05
13,1.0,0.0,1.0,0.0,0.01183208303860685,0.012554329536192635,0.0010501661978758712,5.708674590518182e-05
14,1.0,0.0,1.0,0.0,0.011605031630079577,0.012349771558250998,0.0009672249855155514,5.354032388632545e-05
15,1.0,0.0,1.0,0.0,0.011314804342901974,0.012103969855273638,0.0009095174898740754,6.402316589532511e-05
16,1.0,0.0,1.0,0.0,0.011203634774844462,0.012180926151557553,0.0008733643268111036,5.0263255579487325e-05
17,1.0,0.0,1.0,0.0,0.011203449820272703,0.012180921337108483,0.0008732535890606907,5.0255421250706625e-05
18,1.0,0.0,1.0,0.0,0.011184278871239966,0.01217707100052843,0.0008639711002297878,5.042617122023452e-05
19,1.0,0.0,1.0,0.0,0.011166058525218802,0.012196053141646748,0.0008463010087542463,7.556645061231547e-05
20,1.0,0.0,1.0,0.0,0.011056481916448077,0.012268739720245048,0.0008249900526611592,7.42920230472591e-05
